"PassengerId1","PassengerId2","Number_Of_Flights_Together"
"1666","1696","9"
"391","1662","9"
"2550","4441","9"
"4541","7162","9"
"975","1371","9"
"366","752","9"
"7877","9252","9"
"5494","5500","9"
"701","760","9"
"1673","4827","9"
"5491","5494","9"
"7866","7872","9"
"7747","9522","9"
"746","1001","8"
"4969","4990","8"
"7318","8297","8"
"2681","2697","8"
"3278","5423","8"
"701","1095","8"
"3021","3090","8"
"8289","8353","8"
"1818","2783","8"
"724","752","8"
"205","255","8"
"1677","7605","8"
"716","746","8"
"724","739","8"
"3503","3590","8"
"5912","5978","8"
"5440","5500","8"
"760","1095","8"
"2068","7810","8"
"1337","2867","8"
"3021","9522","8"
"2939","4395","8"
"5720","5954","8"
"1464","1666","8"
"928","975","8"
"2939","2959","8"
"1447","2550","8"
"382","4451","8"
"928","1337","8"
"2759","4373","8"
"701","763","8"
"1715","5522","8"
"4404","7636","8"
"6113","8679","8"
"4316","5443","8"
"5101","5111","8"
"92","3802","8"
"75","11296","8"
"915","930","8"
"1337","1484","8"
"746","1023","8"
"7902","9369","8"
"5481","5491","8"
"11808","11853","8"
"2939","5490","8"
"8679","9522","8"
"716","751","8"
"794","2911","8"
"915","975","8"
"477","3120","8"
"1025","1026","7"
"859","10478","7"
"407","2959","7"
"4034","7209","7"
"2717","2759","7"
"2913","2929","7"
"4364","11007","7"
"4053","4395","7"
"4316","4395","7"
"6418","6447","7"
"3421","3477","7"
"975","2959","7"
"4012","4025","7"
"9127","11280","7"
"4395","4399","7"
"4713","6317","7"
"2511","4025","7"
"1849","2336","7"
"915","1314","7"
"2097","9752","7"
"2685","4972","7"
"3153","3356","7"
"9118","9127","7"
"1053","3421","7"
"915","1482","7"
"7373","9068","7"
"2717","4399","7"
"5481","5494","7"
"5411","5423","7"
"1001","1053","7"
"4011","4080","7"
"479","2201","7"
"4025","4044","7"
"3590","6813","7"
"382","7560","7"
"226","624","7"
"9649","9696","7"
"4009","4339","7"
"1378","2489","7"
"759","1056","7"
"816","866","7"
"3590","6707","7"
"1562","1678","7"
"751","763","7"
"10083","10394","7"
"1337","2959","7"
"5748","11280","7"
"2117","7579","7"
"2068","9069","7"
"10067","12323","7"
"2201","8596","7"
"324","328","7"
"8596","9522","7"
"364","724","7"
